Feature,Mean,Standard Deviation,Minimum,Maximum,Dataset
op_setting_1,-8.870146866366145e-06,0.002187313449015146,-0.0087,0.0087,FD001
op_setting_1,23.998407440614592,14.747376085012888,0.0,42.008,FD002
op_setting_1,-2.3741909385113272e-05,0.002193544584526439,-0.0086,0.0086,FD003
op_setting_1,23.999823342421916,14.780721652272517,0.0,42.008,FD004
op_setting_2,2.3508312733265463e-06,0.00029306212456614496,-0.0006,0.0006,FD001
op_setting_2,0.5720563533547871,0.310015983617551,0.0,0.842,FD002
op_setting_2,5.068770226537218e-06,0.0002940428870590445,-0.0006,0.0007,FD003
op_setting_2,0.5713468905614786,0.310703444053627,0.0,0.842,FD004
sensor_2,642.6809335466046,0.5000532700606232,641.21,644.53,FD001
sensor_2,579.6723994121915,37.289399020462405,535.53,644.52,FD002
sensor_2,642.4578580097087,0.5230311380083125,640.84,645.11,FD003
sensor_2,579.4200555111104,37.342646701765034,535.48,644.42,FD004
sensor_3,1590.5231186079202,6.131149519690819,1571.04,1616.91,FD001
sensor_3,1419.9710132256928,105.9463406139554,1243.73,1612.88,FD002
sensor_3,1588.0791751618124,6.810418054769426,1564.3,1615.39,FD003
sensor_3,1417.896600271025,106.16759773766968,1242.67,1613.0,FD004
sensor_4,1408.9337816877514,9.000604780543714,1382.25,1441.49,FD001
sensor_4,1205.4420244052158,119.12342758532441,1023.77,1439.23,FD002
sensor_4,1404.471212378641,9.773178327387521,1377.06,1441.16,FD003
sensor_4,1201.9153592711718,119.32759068781478,1024.42,1440.77,FD004
sensor_6,21.609803208763513,0.0013889849127073114,21.6,21.61,FD001
sensor_6,11.600745921613125,5.431801597465489,5.71,21.61,FD002
sensor_6,21.595841019417474,0.018116000048510276,21.45,21.61,FD003
sensor_6,11.589457133994024,5.444016543155823,5.67,21.61,FD004
sensor_7,553.367711211284,0.8850922576634073,549.85,556.06,FD001
sensor_7,282.60678677058723,146.0053061400599,136.8,555.82,FD002
sensor_7,555.1438078478965,3.4373428742748646,549.61,570.49,FD003
sensor_7,283.3286331205408,146.880209523219,136.17,570.81,FD004
sensor_8,2388.0966516407348,0.07098547889092417,2387.9,2388.56,FD001
sensor_8,2228.8791876709015,145.20981606834985,1914.77,2388.39,FD002
sensor_8,2388.0715546116503,0.1582849283520036,2386.9,2388.6,FD003
sensor_8,2228.6860337311628,145.3482428873803,1914.72,2388.64,FD004
sensor_9,9065.242940720276,22.082879525066232,9021.73,9244.59,FD001
sensor_9,8525.200837069142,335.8120126761641,7985.56,9215.66,FD002
sensor_9,9064.110809061489,19.980294309113177,9017.98,9234.35,FD003
sensor_9,8524.673301278388,336.92754654344185,7984.51,9196.81,FD004
sensor_11,47.54116814502448,0.2670873986396848,46.85,48.53,FD001
sensor_11,42.98517234323555,3.2323720587863733,36.23,48.51,FD002
sensor_11,47.415706715210355,0.30007416142325294,46.69,48.44,FD003
sensor_11,42.87452921680354,3.24349153498898,36.04,48.36,FD004
sensor_12,521.4134700208424,0.7375533922097114,518.69,523.38,FD001
sensor_12,266.06903439424093,137.6595069498954,129.12,523.37,FD002
sensor_12,523.0508725728156,3.2553139774429254,517.77,537.4,FD003
sensor_12,266.7356650720828,138.4791091630693,128.31,537.49,FD004
sensor_13,2388.0961523920314,0.07191891569857814,2387.88,2388.56,FD001
sensor_13,2334.557252553061,128.06827104323716,2027.61,2390.48,FD002
sensor_13,2388.0716432038835,0.15812066988897278,2386.93,2388.61,FD003
sensor_13,2334.4275896749336,128.19785924922147,2027.57,2390.49,FD004
sensor_14,8143.752722117203,19.076175975953106,8099.94,8293.72,FD001
sensor_14,8066.59768243457,84.83794969298572,7848.36,8268.5,FD002
sensor_14,8144.2029162621375,16.504117682690822,8099.68,8290.55,FD003
sensor_14,8067.8118121112175,85.67054344902144,7845.78,8261.65,FD004
sensor_15,8.442145581891328,0.03750503795196652,8.3249,8.5848,FD001
sensor_15,9.329653544522778,0.7493354922324891,8.3357,11.0669,FD002
sensor_15,8.396175784789644,0.06051161367848584,8.1563,8.5705,FD003
sensor_15,9.285603595160739,0.7503736864794557,8.1757,11.0663,FD004
sensor_17,393.2106538703892,1.548763024614299,388.0,400.0,FD001
sensor_17,348.30951096560574,27.754515422961234,303.0,399.0,FD002
sensor_17,392.5665453074434,1.7614585070963216,388.0,399.0,FD003
sensor_17,347.760028735163,27.808283453502003,302.0,399.0,FD004
sensor_20,38.81627066065629,0.18074642787366083,38.14,39.43,FD001
sensor_20,20.78929593184397,9.869331200699564,10.18,39.34,FD002
sensor_20,38.98855177993528,0.24886469460327212,38.17,39.85,FD003
sensor_20,20.864333458505442,9.93639614293778,10.16,39.89,FD004
sensor_21,23.289705360864716,0.10825087474491234,22.8942,23.6184,FD001
sensor_21,12.473422755259584,5.921615208351726,6.0105,23.5901,FD002
sensor_21,23.393024037216833,0.14923378801551612,22.8726,23.9505,FD003
sensor_21,12.518995493803981,5.962697250948247,6.0843,23.8852,FD004
