Feature,Mean Drift,Stability
op_setting_2,1.1434012601926722,High
sensor_15,1.7769357730025437,High
sensor_11,9.348096159823996,High
sensor_6,20.043365551265914,High
sensor_21,21.690311149017983,High
sensor_20,36.151193050242156,High
op_setting_1,47.99826339509276,Medium
sensor_17,90.99587660295543,Medium
sensor_13,107.23197174421603,Medium
sensor_2,126.49248770680322,Medium
sensor_14,153.5461438335533,Medium
sensor_8,318.65317890848974,Low
sensor_3,345.6225671652305,Low
sensor_4,414.9727490082257,Low
sensor_12,511.6596431273343,Low
sensor_7,542.5760991680525,Low
sensor_9,1081.74387475181,Low
