Feature 1,Feature 2,Difference
sensor_12,sensor_13,1.397155458840377
sensor_8,sensor_12,1.3948375038565244
sensor_7,sensor_8,1.3636421197774053
sensor_7,sensor_13,1.3617798459394
sensor_11,sensor_12,1.1375474705962176
sensor_7,sensor_11,1.0935789362782848
sensor_4,sensor_12,1.017696794995213
sensor_12,sensor_17,1.007242974875008
sensor_3,sensor_12,0.979247730496711
sensor_7,sensor_17,0.9786889621873263
sensor_4,sensor_7,0.9751055236840506
sensor_3,sensor_7,0.9466019778367529
sensor_8,sensor_15,0.9393176297092491
sensor_13,sensor_15,0.9365250977128109
sensor_13,sensor_21,0.934273486939946
sensor_8,sensor_21,0.9333876163737057
sensor_13,sensor_20,0.9293654983428992
sensor_8,sensor_20,0.9287559212087133
sensor_2,sensor_12,0.8663635777979667
sensor_2,sensor_7,0.8263034797158013
