Feature,Importance
sensor_14_t-2,876.1934967656026
sensor_13_t-0,869.9965787691541
sensor_12_t-24,866.0442545482694
op_setting_1_t-23,815.411046217088
op_setting_1_t-28,780.9634807736256
sensor_13_t-28,724.8875899802894
sensor_14_t-0,671.742405444813
op_setting_1_t-25,664.2769656467846
sensor_13_t-35,646.2299827764859
sensor_4_t-32,638.0220135406976
sensor_11_t-0,635.6959564621461
sensor_13_t-30,623.5760265159585
sensor_11_t-39,611.9027590155624
sensor_7_t-8,594.3798359538633
sensor_13_t-15,590.4778397757959
sensor_13_t-31,554.4862550065859
sensor_13_t-26,549.4491102864278
sensor_7_t-1,541.982304735668
sensor_12_t-15,530.5442177997737
sensor_11_t-2,524.1194152602268
sensor_13_t-18,468.7526927336977
sensor_8_t-25,467.7478797152157
sensor_8_t-22,440.7679621728582
sensor_7_t-0,419.48035485341666
sensor_11_t-23,397.26772400273296
sensor_2_t-27,390.7446251916835
sensor_11_t-33,378.39402664161355
sensor_11_t-24,370.1466657890965
sensor_11_t-36,364.7008374677058
sensor_13_t-34,354.07874603123645
sensor_13_t-16,346.74901897805677
sensor_2_t-23,341.46951837708343
sensor_4_t-2,332.4105874892698
sensor_4_t-34,329.9199711066034
sensor_15_t-5,324.2574050110594
sensor_13_t-25,303.008405214084
sensor_11_t-38,301.28438399306646
sensor_21_t-36,299.63718502837537
sensor_9_t-27,291.41985884653633
sensor_9_t-19,281.069554206637
sensor_15_t-12,271.009738434691
sensor_15_t-17,258.98579770882736
sensor_4_t-1,251.21549979714095
sensor_21_t-30,222.21823912621755
sensor_8_t-30,215.37103464504773
sensor_13_t-14,213.0784171676755
sensor_20_t-10,203.58672698497196
sensor_15_t-4,201.71079448336968
sensor_21_t-25,200.19621397985196
op_setting_1_t-11,199.80427250689277
sensor_21_t-1,180.92699745173093
sensor_20_t-26,180.6114054980702
sensor_17_t-35,177.9202294605819
sensor_12_t-1,176.33289326599854
sensor_20_t-39,174.91271014759332
sensor_20_t-31,174.26457308671118
sensor_4_t-26,173.73295936977414
sensor_13_t-38,165.7017739165952
sensor_11_t-14,162.22501204824687
sensor_13_t-23,159.18833498889978
