Feature,Importance
sensor_11_t-0,0.16860825
sensor_4_t-0,0.09796911
sensor_11_t-1,0.097116664
sensor_11_t-2,0.049976353
sensor_9_t-0,0.02942527
sensor_9_t-1,0.024081195
sensor_4_t-1,0.01940786
sensor_11_t-4,0.015965281
sensor_11_t-3,0.013299324
sensor_4_t-2,0.012876636
sensor_9_t-2,0.0127349
sensor_14_t-6,0.011165632
sensor_12_t-0,0.008549388
sensor_7_t-0,0.007528233
sensor_12_t-1,0.007033602
sensor_9_t-3,0.0068190037
sensor_11_t-5,0.006087736
sensor_12_t-2,0.005931117
sensor_14_t-7,0.0059101754
sensor_9_t-10,0.00553963
sensor_14_t-8,0.005189792
sensor_15_t-0,0.0050895177
sensor_8_t-0,0.0039783153
sensor_7_t-1,0.0038190465
sensor_13_t-0,0.0036747137
sensor_17_t-2,0.0036583196
sensor_13_t-1,0.0033536858
sensor_17_t-3,0.00327731
sensor_7_t-2,0.003256942
sensor_9_t-4,0.003255304
sensor_8_t-1,0.0032469607
sensor_14_t-29,0.0032304293
sensor_12_t-3,0.0031646641
sensor_2_t-0,0.003106566
sensor_4_t-3,0.0030835741
sensor_17_t-0,0.002977174
sensor_14_t-2,0.0029670803
sensor_8_t-27,0.0028241707
sensor_14_t-26,0.0026499028
sensor_13_t-9,0.0026310515
sensor_17_t-1,0.002445108
sensor_14_t-13,0.0024310856
sensor_12_t-4,0.0024161872
sensor_8_t-24,0.0023734674
sensor_14_t-27,0.002367416
sensor_14_t-23,0.002352791
sensor_14_t-0,0.002301766
sensor_13_t-29,0.0022569112
sensor_8_t-2,0.0022466723
sensor_13_t-27,0.0022263823
sensor_2_t-1,0.002211425
sensor_12_t-28,0.0021862455
sensor_13_t-28,0.0021787134
sensor_7_t-3,0.0021768964
sensor_12_t-8,0.0021551524
sensor_14_t-20,0.0020928287
sensor_14_t-28,0.0020658514
sensor_15_t-2,0.002064403
sensor_8_t-28,0.0019452384
sensor_14_t-22,0.0019389732
sensor_12_t-29,0.0019329046
sensor_13_t-2,0.0018938987
sensor_14_t-4,0.0018661398
sensor_14_t-16,0.0018356515
sensor_8_t-25,0.0017859844
sensor_15_t-1,0.0017820353
sensor_7_t-27,0.0017656533
sensor_14_t-1,0.0017284085
sensor_8_t-29,0.0017216086
sensor_2_t-2,0.0017091543
sensor_8_t-6,0.0016645379
sensor_12_t-26,0.0016606683
sensor_14_t-3,0.00165992
sensor_4_t-28,0.0016533843
sensor_8_t-26,0.0016504688
sensor_14_t-14,0.0016503251
sensor_11_t-28,0.0016206144
sensor_14_t-25,0.001612676
sensor_14_t-24,0.001603263
sensor_11_t-29,0.0016005783
sensor_2_t-4,0.0015929975
sensor_12_t-5,0.0015900364
sensor_9_t-5,0.0015692607
sensor_9_t-11,0.0015674828
sensor_12_t-27,0.0015349714
sensor_11_t-6,0.0015298019
sensor_21_t-0,0.0014850869
sensor_14_t-5,0.0014744535
sensor_8_t-3,0.0014678212
sensor_3_t-0,0.0014220064
sensor_20_t-0,0.0013967532
sensor_14_t-11,0.0013769995
sensor_14_t-19,0.0013517808
sensor_20_t-1,0.0013403851
sensor_2_t-3,0.0013329908
sensor_2_t-15,0.0013235707
sensor_7_t-5,0.0012983534
sensor_4_t-27,0.0012771504
sensor_7_t-28,0.0012747459
sensor_8_t-4,0.0012640744
sensor_9_t-8,0.0012627246
